id,value,parent_id
104041,Területi gyermekvédelmi szakszolgáltatás,1040
474,Többcélú fejlesztési projektek,4
82070,"Történelmi hely, építmény, egyéb látványosság működtetése és megóvása",820
1030,Túlélő hozzátartozók,10
473,Turizmus,4
47320,Turizmusfejlesztési támogatások és tevékenységek,473
47310,Turizmus igazgatása és támogatása,473
32010,Tűz- és katasztrófavédelem igazgatása,320
320,Tűz- és katasztrófavédelemmel kapcsolatos tevékenységek (kivéve: ár- és belvízvédelem),3
32020,Tűz- és katasztrófavédelmi tevékenységek,320
81071,Üdülői szálláshely-szolgáltatás és étkeztetés,810
33030,Ügyészségi tevékenység,330
45120,"Út, autópálya építése",451
107016,Utcai szociális munka,1070
42320,Vadgazdálkodás,423
42310,Vadgazdálkodás igazgatása és támogatása,423
900090,Vállalkozási tevékenységek kiadásai és bevételei,9000
41235,Vállalkozás részére foglalkoztatást helyettesítő támogatásban részesülő személy foglalkoztatásához nyújtható támogatás,412
840,Vallási és egyéb közösségi szolgáltatások,8
31041,Vámrendészet,310
45140,Városi és elővárosi közúti személyszállítás,451
66020,"Város-, községgazdálkodási egyéb szolgáltatások",660
45320,Vasút építése,453
453,Vasúti közlekedés,4
45310,Vasúti közlekedés igazgatása és támogatása,453
2,Védelem,NA
240,Védelemhez kapcsolódó K+F,2
25020,"Védelmi célú stratégiai tartalékok tárolása, kezelése",250
25010,Védelmi feladatok igazgatása és szabályozása,250
21020,"Védelmi képesség fenntartása, fejlesztése, honvédelmi felkészítés",210
24010,Védelmi tevékenységekkel kapcsolatos alkalmazott kutatás és fejlesztés,240
54020,"Védett természeti területek és természeti értékek bemutatása, megőrzése és fenntartása",540
81041,Versenysport- és utánpótlás-nevelési tevékenység és támogatása,810
74060,"Vér-, szövet- és egyéb kapcsolódó szövetbank",740
51050,"Veszélyes hulladék begyűjtése, szállítása, átrakása",510
51060,"Veszélyes hulladék kezelése, ártalmatlanítása",510
46020,"Vezetékes műsorelosztás, városi és kábeltelevíziós rendszerek",460
435,Villamosenergia-ipar,4
43510,Villamosenergia-ipar igazgatása és támogatása,435
630,Vízellátás,6
63080,"Vízellátással kapcsolatos közmű építése, fenntartása, üzemeltetése",630
452,Vízi közlekedés,4
45210,Vízi közlekedés igazgatása és támogatása,452
45220,Vízi létesítmény építése (kivéve: árvízvédelmi létesítmények),452
63070,Vízrajzi mérés,630
63020,"Víztermelés, -kezelés, -ellátás",630
63010,Vízügy igazgatása,630
66010,Zöldterület-kezelés,660
10,Szociális védelem,NA
